SWITCH	drivers/switch/Kconfig
THERMAL_MONITOR	drivers/thermal/Kconfig
THERMAL_QPNP	drivers/thermal/Kconfig
THERMAL_TSENS8974	drivers/thermal/Kconfig
TOUCHSCREEN_SYNAPTICS_OPPO	drivers/input/touchscreen/synaptics_oppo/Kconfig
UID_CPUTIME	drivers/misc/Kconfig
UID_STAT	drivers/misc/Kconfig
USB_CCID_BRIDGE	drivers/usb/class/Kconfig
USB_EHCI_EHSET	drivers/usb/host/Kconfig
USB_EHCI_MSM_UICC	drivers/usb/host/Kconfig
USB_G_ANDROID	drivers/usb/gadget/Kconfig
USB_OTG_WAKELOCK	drivers/usb/phy/Kconfig
USB_SERIAL_CSVT	drivers/usb/serial/Kconfig
USE_PINCTRL_IRQ	drivers/pinctrl/Kconfig
VIDEOBUF2_MSM_MEM	drivers/media/v4l2-core/Kconfig
WCD9335_CODEC	drivers/mfd/Kconfig
WLAN_FEATURE_11W	drivers/staging/prima/Kconfig
WLAN_OFFLOAD_PACKETS	drivers/staging/prima/Kconfig
ZRAM_LZ4_COMPRESS	drivers/block/zram/Kconfig
